# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11537895
# start_time: 1523421225
# start_time_asci: Tue Apr 10 21:33:45 2018
# end_time: 1523421249
# end_time_asci: Tue Apr 10 21:34:09 2018
# nprocs: 128
# run time: 25
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 566 bytes (compressed)
# record table: 274 bytes (compressed)
# POSIX module: 9957 bytes (compressed), ver=3
# MPI-IO module: 14940 bytes (compressed), ver=2
# LUSTRE module: 17759 bytes (compressed), ver=1
# STDIO module: 9444 bytes (compressed), ver=1
# DXT_POSIX module: 40629 bytes (compressed), ver=1
# DXT_MPIIO module: 15040 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_f2N4Cr_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS, and MMAPS are types of operations.
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
LUSTRE	90	5892279968651459672	LUSTRE_OST_ID_28	5	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	90	5892279968651459672	LUSTRE_OST_ID_29	29	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	90	5892279968651459672	LUSTRE_OST_ID_30	107	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	90	5892279968651459672	LUSTRE_OST_ID_31	61	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	17559175597094952540	LUSTRE_OSTS	248	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	91	17559175597094952540	LUSTRE_MDTS	5	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	91	17559175597094952540	LUSTRE_STRIPE_OFFSET	0	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	91	17559175597094952540	LUSTRE_STRIPE_SIZE	1048576	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	91	17559175597094952540	LUSTRE_STRIPE_WIDTH	1	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	91	17559175597094952540	LUSTRE_OST_ID_0	228	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OSTS	248	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_MDTS	5	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_STRIPE_OFFSET	0	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_STRIPE_SIZE	33554432	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_STRIPE_WIDTH	32	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_0	149	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_1	211	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_2	169	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_3	235	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_4	145	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_5	201	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_6	81	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_7	157	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_8	21	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_9	97	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_10	165	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_11	175	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_12	179	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_13	143	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_14	161	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_15	31	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_16	53	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_17	41	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_18	181	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_19	231	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_20	225	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_21	183	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_22	67	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_23	129	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_24	119	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_25	85	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_26	71	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_27	77	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_28	5	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_29	29	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_30	107	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	91	5892279968651459672	LUSTRE_OST_ID_31	61	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	17559175597094952540	LUSTRE_OSTS	248	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	92	17559175597094952540	LUSTRE_MDTS	5	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	92	17559175597094952540	LUSTRE_STRIPE_OFFSET	0	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	92	17559175597094952540	LUSTRE_STRIPE_SIZE	1048576	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	92	17559175597094952540	LUSTRE_STRIPE_WIDTH	1	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	92	17559175597094952540	LUSTRE_OST_ID_0	228	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OSTS	248	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_MDTS	5	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_STRIPE_OFFSET	0	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_STRIPE_SIZE	33554432	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_STRIPE_WIDTH	32	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_0	149	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_1	211	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_2	169	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_3	235	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_4	145	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_5	201	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_6	81	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_7	157	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_8	21	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_9	97	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_10	165	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_11	175	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_12	179	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_13	143	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_14	161	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_15	31	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_16	53	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_17	41	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_18	181	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_19	231	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_20	225	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_21	183	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_22	67	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_23	129	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_24	119	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_25	85	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_26	71	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_27	77	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_28	5	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_29	29	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_30	107	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	92	5892279968651459672	LUSTRE_OST_ID_31	61	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	17559175597094952540	LUSTRE_OSTS	248	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	93	17559175597094952540	LUSTRE_MDTS	5	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	93	17559175597094952540	LUSTRE_STRIPE_OFFSET	0	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	93	17559175597094952540	LUSTRE_STRIPE_SIZE	1048576	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	93	17559175597094952540	LUSTRE_STRIPE_WIDTH	1	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	93	17559175597094952540	LUSTRE_OST_ID_0	228	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OSTS	248	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_MDTS	5	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_STRIPE_OFFSET	0	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_STRIPE_SIZE	33554432	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_STRIPE_WIDTH	32	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_0	149	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_1	211	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_2	169	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_3	235	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_4	145	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_5	201	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_6	81	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_7	157	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_8	21	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_9	97	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_10	165	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_11	175	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_12	179	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_13	143	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_14	161	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_15	31	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_16	53	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_17	41	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_18	181	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_19	231	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_20	225	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_21	183	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_22	67	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_23	129	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_24	119	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_25	85	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_26	71	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_27	77	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_28	5	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_29	29	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_30	107	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	93	5892279968651459672	LUSTRE_OST_ID_31	61	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	94	17559175597094952540	LUSTRE_OSTS	248	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	94	17559175597094952540	LUSTRE_MDTS	5	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	94	17559175597094952540	LUSTRE_STRIPE_OFFSET	0	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	94	17559175597094952540	LUSTRE_STRIPE_SIZE	1048576	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	94	17559175597094952540	LUSTRE_STRIPE_WIDTH	1	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	94	17559175597094952540	LUSTRE_OST_ID_0	228	/global/cscratch1/sd/dhkoo/s20/inputs.r888.555	/global/cscratch1	lustre
LUSTRE	94	5892279968651459672	LUSTRE_OSTS	248	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	94	5892279968651459672	LUSTRE_MDTS	5	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	94	5892279968651459672	LUSTRE_STRIPE_OFFSET	0	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	94	5892279968651459672	LUSTRE_STRIPE_SIZE	33554432	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
LUSTRE	94	5892279968651459672	LUSTRE_STRIPE_WIDTH	32	/global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5	/global/cscratch1	lustre
